nama_produk,jumlah_terjual,harga,kategori_produk,tanggal_transaksi
Aki,45.0,200000.0,Aki Kering YGP 3C1,2021-09-01
Busi,84.0,170000.0,BUSI NGK BP7ES,2021-09-01
Oli,51.0,44000.0,Mesrania 2T super 1 L,2021-09-01
Ban,68.0,350000.0,BL Maxxis 100/80-14 VICTRA,2021-09-01
Hendel Rem,76.0,150000.0,Hendel Rem Ori AHM,2021-09-01
Bearing,51.0,47500.0,BRG AHM SET 6203 RS,2021-09-01
Kampas Kopling,82.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-09-01
Rumah Roller,74.0,75000.0,AHM KOJ Scoopy New,2021-09-01
Roller,83.0,65000.0,Kawahara Nmx,2021-09-01
Piringan Cakram,32.0,55500.0,Piringan DPN AHM Vario,2021-09-01
Rumah Roller,33.0,70000.0,AHM GMF Beat,2021-09-01
Roller,53.0,77500.0,BRT NMX,2021-09-01
Dinamo,34.0,185000.0,Dinamo AHM KVB Vario,2021-09-01
Gasket,30.0,31000.0,Gasket Cylinder head Nmx,2021-09-01
Busi,67.0,28000.0,BUSI AHM U22FER9,2021-09-01
Velg,52.0,1500000.0,Velg Enkei,2021-09-01
Busi,61.0,170000.0,BUSI NGK BP7ES,2021-09-01
V-Belt,51.0,119000.0,V Belt Only YGP 2DP NMX,2021-09-01
Gear Rantai,42.0,150000.0,Gear Seat Asp Grand,2021-09-01
Bearing,33.0,52000.0,BRG AHM SET 6302 RS,2021-09-01
Oli,60.0,128000.0,MOTUL SCOOTER POWER LE,2021-09-01
Rumah Roller,59.0,70000.0,AHM GMF Beat,2021-09-01
Oli,73.0,72000.0,MOTUL SCOOTER LE 1 LTR,2021-09-01
V-Belt,75.0,145000.0,V Belt set AHM KVB,2021-09-01
Rumah Roller,63.0,70000.0,AHM GMF Beat,2021-09-01
Busi,86.0,170000.0,BUSI NGK BP7ES,2021-09-01
Rumah Roller,51.0,70000.0,AHM GMF Beat,2021-09-01
Oli,71.0,40500.0,Mesran 40 1 LTR,2021-09-01
Kampas Rem,52.0,50000.0,Kampas Depan Supra X,2021-09-01
Piringan Cakram,79.0,55500.0,Piringan DPN AHM Vario,2021-09-01
Kampas Kopling,64.0,250000.0,KPL Ganda ONLY MALOSSI,2021-09-01
Shockbreaker,35.0,210000.0,Shock AHM KVY Beat,2021-09-01
Hendel Rem,65.0,900000.0,Hendel Rem KTC,2021-09-01
Oli,68.0,72000.0,MOTUL SCOOTER LE 1 LTR,2021-09-01
Kaca Spion,51.0,44500.0,Spion Vario WIN,2021-09-01
Sensor,81.0,125000.0,Injektor Vario 150 YMMT,2021-09-01
Sakelar,51.0,12000.0,Sakelar Indling stop,2021-09-01
Filter Udara,75.0,60000.0,Filter Udara AHM,2021-09-01
Kampas Rem,86.0,55000.0,DPAD YGP 3C1 NMX,2021-09-01
Oli,70.0,23000.0,Evalube 2T 0.7,2021-09-01
Oli,42.0,105000.0,Motul SC EXP LE 4T,2021-09-01
Kampas Kopling,65.0,200000.0,KPL Ganda ONLY BRT,2021-09-01
Busi,63.0,28000.0,BUSI AHM U22FER9,2021-09-01
Bearing,52.0,50500.0,BRG AHM SET 6204 RS,2021-09-01
Piringan Cakram,46.0,55500.0,Piringan DPN AHM Vario,2021-09-01
Kaca Spion,75.0,44500.0,Spion Vario WIN,2021-09-01
Gear Rantai,30.0,240000.0,Gear suprax 125 gear 39,2021-09-01
Sakelar,31.0,12000.0,Sakelar Indling stop,2021-09-01
Hendel Rem,51.0,100000.0,Hendel Rem RCB kw,2021-09-01
Kampas Rem,62.0,47000.0,DPAD BLK SUPRA,2021-09-01
Hendel Rem,66.0,100000.0,Hendel Rem RCB kw,2021-09-01
V-Belt,67.0,119000.0,V Belt Only YGP 2DP NMX,2021-09-01
Ban,83.0,200000.0,FDR TR TL 80/90-14 Sport XR Evo,2021-09-01
Rumah Roller,36.0,95000.0,AHM K44 Scoopy,2021-09-01
Aki,57.0,250000.0,Aki Basah Yuasa YB5L-B,2021-09-01
Ban,56.0,350000.0,BL Maxxis 100/80-14 VICTRA,2021-09-01
Aki,65.0,200000.0,Aki Kering YGP 3C1,2021-09-01
Kampas Kopling,80.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-09-01
Ban,73.0,230000.0,BL IRC MB86 100/90-12,2021-09-01
Piringan Cakram,41.0,98500.0,Piringan DPN KC/YMMT NMX,2021-09-01
Piringan Cakram,54.0,68000.0,Piringan DPN AHM Scoopy New,2021-09-01
Radiator,78.0,115000.0,Radiator YMMT Vario 125,2021-09-01
Sensor,38.0,125000.0,Injektor Vario 150 YMMT,2021-09-01
Seal,76.0,15000.0,Seal Water Pump,2021-09-01
Piringan Cakram,63.0,98500.0,Piringan BLK KC/UTH NMX,2021-09-01
Sakelar,60.0,12000.0,Sakelar Indling stop,2021-09-01
Roller,69.0,77500.0,BRT VARIO 125,2021-09-01
Rumah Roller,61.0,70000.0,AHM GMF Beat,2021-09-01
Oli,78.0,34500.0,Castrol Pro 2T,2021-09-01
Sensor,40.0,170000.0,Sensor CKP KOJ Genio,2021-09-01
Gasket,85.0,13000.0,Gasket Cylinder Nmx,2021-09-01
Oli,45.0,62000.0,Yamalube Super Matic 1 L,2021-09-01
Gear Rantai,68.0,240000.0,Gear suprax 125 gear 39,2021-09-01
Gear Rantai,73.0,185000.0,Gear Seat AHM KWB revo,2021-09-01
Roller,70.0,72500.0,BRT VARIO 110,2021-09-01
Velg,58.0,1500000.0,Velg TDR,2021-09-01
Lampu,52.0,25000.0,SGP Lampu Kepala depan,2021-09-01
V-Belt,47.0,150000.0,V Belt kit AHM K16,2021-09-01
Gear Rantai,30.0,182500.0,Gear seat YGP 5TP JUP Z,2021-09-01
Gasket,38.0,31000.0,Gasket Cylinder head Nmx,2021-09-01
Velg,81.0,1600000.0,Velg VND,2021-09-01
Gasket,38.0,13000.0,Gasket Cylinder Nmx,2021-09-01
Oli,52.0,15000.0,MOTUL SCOOTER GEAR,2021-09-01
Ban,66.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-10-01
Busi,55.0,28000.0,BUSI AHM U22FER9,2021-10-01
Ban,49.0,280000.0,BL Maxxis 90/80-14 VICTRA,2021-10-01
Ban,44.0,270000.0,BL IRC MB67 110/90-12,2021-10-01
Kampas Kopling,49.0,200000.0,KPL Ganda ONLY BRT,2021-10-01
Bearing,70.0,47500.0,BRG AHM SET 6203 RS,2021-10-01
Aki,77.0,275000.0,Aki Kering AHM GTZ6V,2021-10-01
Rumah Roller,79.0,95000.0,AHM K44 Scoopy,2021-10-01
Rumah Roller,59.0,75000.0,AHM KOJ Scoopy New,2021-10-01
Kaca Spion,44.0,44500.0,Spion Vario WIN,2021-10-01
Ban,84.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-10-01
Roller,71.0,70000.0,BRT Mio,2021-10-01
Gear Rantai,86.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Ban,71.0,200000.0,FDR TR TL 80/90-14 Sport XR Evo,2021-10-01
V-Belt,67.0,119000.0,V Belt Only YGP 2DP NMX,2021-10-01
Ban,83.0,280000.0,BL Maxxis 90/80-14 VICTRA,2021-10-01
Oli,72.0,47500.0,MOTUL MOTO 4 T,2021-10-01
Piringan Cakram,72.0,98500.0,Piringan DPN KC/YMMT NMX,2021-10-01
Ban,47.0,200000.0,FDR TR TL 80/90-14 Sport XR Evo,2021-10-01
Aki,61.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-10-01
Velg,40.0,1300000.0,Velg Rossi,2021-10-01
Gear Rantai,31.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Velg,75.0,1500000.0,Velg TDR,2021-10-01
Filter Udara,73.0,70000.0,Filter Udara BRT,2021-10-01
Ban,67.0,186500.0,BL AHM 80/90-17 KWW,2021-10-01
V-Belt,72.0,119000.0,V belt Only YGP B65 AEROX/NMX NEW,2021-10-01
V-Belt,86.0,119000.0,V Belt Only YGP 2DP NMX,2021-10-01
Ban,82.0,230000.0,FDR TR TL Flemino 90/90-14,2021-10-01
Aki,70.0,250000.0,Aki Basah Yuasa YB5L-B,2021-10-01
Filter Udara,38.0,70000.0,Filter Udara BRT,2021-10-01
Kampas Rem,77.0,65000.0,DPAD YGP 2BM,2021-10-01
Aki,71.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-10-01
Velg,56.0,1300000.0,Velg Rossi,2021-10-01
Sensor,50.0,196000.0,Sensor TPS KOJ,2021-10-01
Oli,56.0,105000.0,Motul SC EXP LE 4T,2021-10-01
Filter Udara,86.0,50000.0,Filter Udara Suzuki,2021-10-01
Gasket,85.0,55000.0,Gasket full seat AHM Scoopy,2021-10-01
Bearing,42.0,50500.0,BRG AHM SET 6301 RS,2021-10-01
V-Belt,30.0,150000.0,V Belt set AHM KWN,2021-10-01
Oli,83.0,44000.0,Mesrania 2T super 1 L,2021-10-01
V-Belt,66.0,145000.0,V Belt set AHM KVB,2021-10-01
Sakelar,59.0,12000.0,Sakelar Indling stop,2021-10-01
Gasket,32.0,66000.0,Gasket full seat AHM Supra Fit,2021-10-01
Sakelar,56.0,8000.0,Sakelar Klakson,2021-10-01
Bearing,32.0,52000.0,BRG AHM SET 6302 RS,2021-10-01
Sensor,38.0,87000.0,Sensor TPS,2021-10-01
Sensor,76.0,170000.0,Sensor CKP KOJ Genio,2021-10-01
Filter Udara,57.0,50000.0,Filter Udara Suzuki,2021-10-01
Seal,79.0,8000.0,Seal oring,2021-10-01
Gear Rantai,43.0,185000.0,Gear Seat AHM KWB revo,2021-10-01
Bearing,74.0,50500.0,BRG AHM SET 6301 RS,2021-10-01
Gear Rantai,71.0,150000.0,Gear Seat Asp Grand,2021-10-01
Bearing,83.0,45500.0,BRG AHM SET 6202 RS,2021-10-01
Seal,49.0,5000.0,Seal Kopling,2021-10-01
Ban,80.0,186500.0,BL AHM 80/90-17 KWW,2021-10-01
Gasket,75.0,55000.0,Gasket full seat AHM Scoopy,2021-10-01
Oli,55.0,128000.0,MOTUL SCOOTER POWER LE,2021-10-01
Gasket,52.0,31000.0,Gasket Cylinder head Nmx,2021-10-01
Oli,70.0,15000.0,MOTUL SCOOTER GEAR,2021-10-01
Ban,35.0,280000.0,BL Maxxis 90/80-14 VICTRA,2021-10-01
Sakelar,64.0,10000.0,Sakelar Lampu,2021-10-01
Kampas Rem,86.0,65000.0,DPAD YGP 2BM,2021-10-01
V-Belt,67.0,119000.0,V belt Only YGP B65 AEROX/NMX NEW,2021-10-01
Oli,51.0,44000.0,Mesrania 2T super 1 L,2021-10-01
Filter Udara,80.0,70000.0,Filter Udara YGP,2021-10-01
Kampas Kopling,72.0,250000.0,KPL Ganda ONLY MALOSSI,2021-10-01
Kampas Kopling,45.0,200000.0,KPL Ganda ONLY BRT,2021-10-01
Hendel Rem,73.0,900000.0,Hendel Rem KTC,2021-10-01
Sensor,43.0,170000.0,Sensor CKP KOJ Genio,2021-10-01
Velg,71.0,1600000.0,Velg VND,2021-10-01
Rumah Roller,43.0,95000.0,AHM K44 Scoopy,2021-10-01
Rumah Roller,52.0,70000.0,AHM GMF Beat,2021-10-01
Filter Udara,82.0,70000.0,Filter Udara BRT,2021-10-01
Seal,76.0,5000.0,Seal Kopling,2021-10-01
Oli,75.0,23000.0,Evalube 2T 0.7,2021-10-01
Oli,83.0,49000.0,MPX 2 0.8L,2021-10-01
Busi,34.0,28000.0,BUSI AHM U22FER9,2021-10-01
Hendel Rem,47.0,100000.0,Hendel Rem RCB kw,2021-10-01
Velg,74.0,1500000.0,Velg TDR,2021-10-01
Busi,32.0,28000.0,BUSI AHM U22FER9,2021-10-01
Oli,80.0,33500.0,Mesran Super 4T 0.8 L,2021-10-01
Bearing,63.0,45500.0,BRG AHM SET 6202 RS,2021-10-01
Hendel Rem,64.0,100000.0,Hendel Rem RCB kw,2021-10-01
Kampas Rem,46.0,65000.0,DPAD YGP 2BM,2021-10-01
Kampas Kopling,36.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-10-01
Hendel Rem,61.0,900000.0,Hendel Rem KTC,2021-10-01
Piringan Cakram,38.0,55500.0,Piringan DPN AHM Vario,2021-10-01
Oli,44.0,15000.0,MOTUL SCOOTER GEAR,2021-10-01
Aki,53.0,200000.0,Aki Kering YGP 3C1,2021-10-01
Oli,73.0,15000.0,MOTUL SCOOTER GEAR,2021-10-01
Ban,32.0,154000.0,BL AHM 70/90-17 KWW,2021-10-01
Bearing,36.0,50500.0,BRG AHM SET 6204 RS,2021-10-01
Sensor,50.0,125000.0,Injektor Vario 150 YMMT,2021-10-01
Filter Udara,51.0,60000.0,Filter Udara AHM,2021-10-01
Bearing,76.0,45500.0,BRG AHM SET 6202 RS,2021-10-01
Seal,38.0,15000.0,Seal Water Pump,2021-10-01
Oli,47.0,49000.0,MPX 2 0.8L,2021-10-01
Rumah Roller,64.0,95000.0,AHM K44 Scoopy,2021-10-01
Kampas Kopling,62.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-10-01
Gear Rantai,49.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Dinamo,30.0,166000.0,Dinamo ST indo KPH,2021-10-01
Gear Rantai,54.0,150000.0,Gear Seat Asp Grand,2021-10-01
Ban,59.0,186500.0,BL AHM 80/90-17 KWW,2021-10-01
Kampas Rem,68.0,40000.0,Kampas Belakang Supra,2021-10-01
Bearing,42.0,50500.0,BRG AHM SET 6301 RS,2021-10-01
Seal,40.0,7000.0,Seal Pulau,2021-10-01
Shockbreaker,58.0,210000.0,Shock AHM KZR Vario 125,2021-10-01
Oli,30.0,49000.0,MPX 1 0.8L,2021-10-01
V-Belt,48.0,170000.0,V belt kit AHM KZR VARIO 125,2021-10-01
Sakelar,79.0,8000.0,Sakelar Klakson,2021-10-01
Velg,60.0,350000.0,Velg Comet,2021-10-01
Ban,65.0,154000.0,BL AHM 70/90-17 KWW,2021-10-01
Busi,33.0,14500.0,BUSI YGP U22FSU,2021-10-01
Dinamo,60.0,185000.0,Dinamo AHM KVB Vario,2021-10-01
Ban,79.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-10-01
Oli,53.0,34500.0,Castrol Pro 2T,2021-10-01
Dinamo,51.0,166000.0,Dinamo ST indo KPH,2021-10-01
Bearing,75.0,45500.0,BRG AHM SET 6202 RS,2021-10-01
Roller,82.0,77500.0,BRT VARIO 125,2021-10-01
Roller,79.0,77500.0,BRT NMX,2021-10-01
Gear Rantai,64.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Sensor,55.0,170000.0,Sensor CKP KOJ Genio,2021-10-01
Dinamo,32.0,185000.0,Dinamo AHM KVB Vario,2021-10-01
Radiator,69.0,200000.0,Radiator MLKUNL VARIO,2021-10-01
Radiator,84.0,115000.0,Radiator YMMT Vario 125,2021-10-01
Ban,72.0,240000.0,FDR TR TL 80/80-17 Sport Evo,2021-10-01
Oli,37.0,44000.0,Mesrania 2T super 1 L,2021-10-01
Dinamo,30.0,166000.0,Dinamo ST indo KPH,2021-10-01
Oli,60.0,40000.0,Evalube Matic 0.8 L,2021-10-01
Piringan Cakram,54.0,98500.0,Piringan BLK KC/UTH NMX,2021-10-01
Shockbreaker,83.0,210000.0,Shock AHM KVY Beat,2021-10-01
Bearing,31.0,50500.0,BRG AHM SET 6204 RS,2021-10-01
Piringan Cakram,71.0,98500.0,Piringan BLK KC/UTH NMX,2021-10-01
Radiator,62.0,115000.0,Radiator YMMT Vario 125,2021-10-01
V-Belt,48.0,170000.0,V Belt set AHM K35,2021-10-01
Roller,47.0,65000.0,Kawahara Nmx,2021-10-01
Oli,66.0,40500.0,Mesran 40 1 LTR,2021-10-01
Oli,35.0,34500.0,Castrol Pro 2T,2021-10-01
Oli,55.0,34500.0,Castrol Pro 2T,2021-10-01
Radiator,43.0,115000.0,Radiator YMMT Vario 125,2021-10-01
Kampas Kopling,37.0,200000.0,KPL Ganda ONLY BRT,2021-10-01
Oli,73.0,105000.0,Motul SC EXP LE 4T,2021-10-01
Rumah Roller,61.0,75000.0,AHM KOJ Scoopy New,2021-10-01
Roller,73.0,70000.0,BRT Mio,2021-10-01
Gear Rantai,81.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Oli,42.0,23000.0,Evalube 2T 0.7,2021-10-01
Aki,74.0,250000.0,Aki Basah Yuasa YB5L-B,2021-10-01
Oli,36.0,37500.0,Grand Manual 0.8 L,2021-10-01
Kampas Rem,53.0,47000.0,DPAD BLK SUPRA,2021-10-01
Gear Rantai,52.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Gear Rantai,38.0,185000.0,Gear Seat AHM KWB revo,2021-10-01
Rumah Roller,55.0,95000.0,AHM K44 Scoopy,2021-10-01
V-Belt,71.0,145000.0,V Belt set AHM KVB,2021-10-01
Lampu,30.0,8000.0,Indo Part Lampu dop rem,2021-10-01
Aki,37.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-10-01
Roller,51.0,65000.0,Kawahara Nmx,2021-10-01
Gasket,41.0,31000.0,Gasket Cylinder head Nmx,2021-10-01
Gasket,45.0,31000.0,Gasket Cylinder head Nmx,2021-10-01
Oli,42.0,33500.0,Mesran Super 4T 0.8 L,2021-10-01
Gasket,36.0,55000.0,Gasket full seat AHM Scoopy,2021-10-01
Filter Udara,59.0,50000.0,Filter Udara Suzuki,2021-10-01
Piringan Cakram,69.0,98500.0,Piringan BLK KC/UTH NMX,2021-10-01
Gear Rantai,44.0,196000.0,Gear seat AHM KEV Supra,2021-10-01
Ban,65.0,186500.0,BL AHM 80/90-17 KWW,2021-10-01
Oli,86.0,40500.0,Mesran 40 1 LTR,2021-10-01
Oli,35.0,49000.0,MPX 2 0.8L,2021-10-01
Kaca Spion,42.0,50000.0,Spion Beat FI,2021-10-01
Ban,63.0,230000.0,FDR TR TL Flemino 90/90-14,2021-10-01
Kampas Rem,50.0,65000.0,DPAD YGP 2BM,2021-10-01
Kampas Kopling,84.0,275000.0,KPL Ganda ONLY POLINI,2021-10-01
Gasket,63.0,31000.0,Gasket Cylinder head Nmx,2021-10-01
Piringan Cakram,56.0,68000.0,Piringan DPN AHM Scoopy New,2021-10-01
Gasket,56.0,66000.0,Gasket full seat AHM Supra Fit,2021-10-01
Aki,37.0,250000.0,Aki Basah Yuasa YB5L-B,2021-10-01
Ban,31.0,280000.0,BL Maxxis 90/80-14 VICTRA,2021-10-01
Bearing,40.0,50500.0,BRG AHM SET 6301 RS,2021-10-01
Busi,44.0,28000.0,BUSI AHM U22FER9,2021-10-01
Sensor,56.0,87000.0,Sensor TPS,2021-10-01
Kampas Rem,76.0,55000.0,DPAD YGP 3C1 NMX,2021-10-01
Filter Udara,34.0,70000.0,Filter Udara BRT,2021-10-01
Bearing,40.0,44500.0,BRG AHM SET 6201 RS,2021-10-01
Kampas Rem,58.0,47000.0,DPAD BLK SUPRA,2021-10-01
Roller,55.0,77500.0,BRT VARIO 125,2021-10-01
Roller,36.0,70000.0,BRT Mio,2021-10-01
Seal,39.0,7000.0,Seal Pulau,2021-10-01
Shockbreaker,30.0,210000.0,Shock AHM KZR Vario 125,2021-10-01
Kaca Spion,47.0,35000.0,Spion Indo KVY Beat,2021-10-01
Kaca Spion,65.0,50000.0,Spion Beat FI,2021-10-01
Gasket,63.0,55000.0,Gasket full seat AHM Scoopy,2021-10-01
Piringan Cakram,76.0,98500.0,Piringan BLK KC/UTH NMX,2021-10-01
V-Belt,79.0,170000.0,V Belt set AHM K35,2021-10-01
Piringan Cakram,65.0,98500.0,Piringan DPN KC/YMMT NMX,2021-10-01
Bearing,72.0,47500.0,BRG AHM SET 6203 RS,2021-10-01
Kampas Rem,64.0,50000.0,Kampas Depan Supra X,2021-10-01
Gasket,42.0,31000.0,Gasket Cylinder head Nmx,2021-10-01
Velg,83.0,1500000.0,Velg Enkei,2021-10-01
Kaca Spion,54.0,50000.0,Spion Beat FI,2021-10-01
Lampu,75.0,30000.0,AHM Lampu Kepala,2021-10-01
Busi,83.0,170000.0,BUSI NGK BP7ES,2021-10-01
Oli,52.0,33500.0,Mesran Super 4T 0.8 L,2021-10-01
Kampas Rem,67.0,51000.0,DPAD AHM KVBT01 VARIO,2021-10-01
Seal,86.0,7000.0,Seal Pulau,2021-10-01
Seal,78.0,7000.0,Seal Pulau,2021-10-01
Oli,53.0,33500.0,Mesran Super 4T 0.8 L,2021-10-01
Oli,56.0,30000.0,Evalube 2T PRO 0.7,2021-10-01
Kampas Rem,74.0,51000.0,DPAD AHM KVBT01 VARIO,2021-10-01
Gear Rantai,35.0,150000.0,Gear Seat Asp Grand,2021-10-01
Dinamo,57.0,166000.0,Dinamo ST indo KPH,2021-10-01
Kampas Rem,83.0,40000.0,Kampas Belakang Supra,2021-10-01
Kaca Spion,58.0,50000.0,Spion Beat FI,2021-10-01
V-Belt,66.0,119000.0,V Belt Only YGP 2DP NMX,2021-10-01
Sensor,79.0,125000.0,Injektor Vario 150 YMMT,2021-10-01
Roller,33.0,77500.0,BRT NMX,2021-10-01
Oli,59.0,40000.0,Evalube Matic 0.8 L,2021-10-01
Aki,79.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-10-01
Velg,58.0,1600000.0,Velg VND,2021-10-01
Kampas Rem,65.0,47000.0,DPAD BLK SUPRA,2021-10-01
Kampas Rem,84.0,50000.0,Kampas Depan Supra X,2021-10-01
Oli,34.0,49000.0,MPX 1 0.8L,2021-10-01
V-Belt,40.0,150000.0,V Belt set AHM KWN,2021-10-01
Ban,77.0,230000.0,FDR TR TL Flemino 90/90-14,2021-10-01
Seal,63.0,10000.0,Seal Crankshaf,2021-10-01
Ban,67.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-10-01
Gear Rantai,67.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Velg,81.0,1500000.0,Velg TDR,2021-10-01
V-Belt,60.0,119000.0,V belt Only YGP B65 AEROX/NMX NEW,2021-10-01
Gasket,41.0,13000.0,Gasket Cylinder Nmx,2021-10-01
Velg,31.0,1500000.0,Velg Enkei,2021-10-01
Hendel Rem,30.0,150000.0,Hendel Rem Ori AHM,2021-10-01
Oli,56.0,30000.0,Evalube 2T PRO 0.7,2021-10-01
Sakelar,71.0,12000.0,Sakelar Indling stop,2021-10-01
Oli,49.0,64000.0,Motul GP MTC 4T,2021-10-01
Sakelar,69.0,15000.0,Sakelar Retting,2021-10-01
Shockbreaker,66.0,200000.0,Shock AHM K25 Beat FI,2021-10-01
Velg,53.0,1500000.0,Velg Enkei,2021-10-01
Roller,83.0,77500.0,BRT NMX,2021-10-01
Seal,32.0,7000.0,Seal Pulau,2021-10-01
Ban,41.0,270000.0,BL IRC MB67 110/90-12,2021-10-01
Ban,68.0,200000.0,FDR TR TL 80/90-14 Sport XR Evo,2021-10-01
Aki,45.0,200000.0,Aki Kering YGP 3C1,2021-10-01
Oli,76.0,62000.0,Yamalube Super Matic 1 L,2021-10-01
Roller,30.0,72500.0,BRT VARIO 110,2021-10-01
Ban,85.0,186500.0,BL AHM 80/90-17 KWW,2021-10-01
Kampas Kopling,78.0,200000.0,KPL Ganda ONLY BRT,2021-10-01
Roller,33.0,70000.0,BRT Mio,2021-10-01
Bearing,42.0,50500.0,BRG AHM SET 6301 RS,2021-10-01
V-Belt,73.0,150000.0,V Belt set AHM KWN,2021-10-01
Velg,44.0,1500000.0,Velg TDR,2021-10-01
Oli,39.0,37500.0,Grand Manual 0.8 L,2021-10-01
Sensor,65.0,196000.0,Sensor TPS KOJ,2021-10-01
Seal,72.0,5000.0,Seal Kopling,2021-10-01
Oli,52.0,30000.0,Evalube 2T PRO 0.7,2021-10-01
Piringan Cakram,71.0,98500.0,Piringan BLK KC/UTH NMX,2021-10-01
Bearing,76.0,55000.0,BRG AHM SET 6303 RS,2021-10-01
Kampas Rem,37.0,51000.0,DPAD AHM KVBT01 VARIO,2021-10-01
Aki,51.0,275000.0,Aki Kering AHM GTZ6V,2021-10-01
Ban,78.0,154000.0,BL AHM 70/90-17 KWW,2021-10-01
Busi,51.0,170000.0,BUSI NGK BP7ES,2021-10-01
Kampas Rem,46.0,55000.0,DPAD YGP 3C1 NMX,2021-10-01
Gear Rantai,41.0,240000.0,Gear suprax 125 gear 39,2021-10-01
Oli,81.0,64000.0,Motul GP MTC 4T,2021-10-01
Oli,32.0,49000.0,MPX 2 0.8L,2021-10-01
Radiator,30.0,115000.0,Radiator YMMT Vario 125,2021-10-01
Filter Udara,34.0,70000.0,Filter Udara BRT,2021-10-01
Ban,74.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-10-01
Ban,40.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-10-01
Oli,69.0,47500.0,MOTUL MOTO 4 T,2021-10-01
Sakelar,64.0,12000.0,Sakelar Indling stop,2021-10-01
Busi,38.0,170000.0,BUSI NGK BP7ES,2021-10-01
Kampas Rem,46.0,47000.0,DPAD BLK SUPRA,2021-10-01
Sakelar,55.0,10000.0,Sakelar Lampu,2021-10-01
Busi,86.0,170000.0,BUSI NGK BP7ES,2021-10-01
Seal,42.0,15000.0,Seal Water Pump,2021-10-01
Ban,63.0,154000.0,BL AHM 70/90-17 KWW,2021-10-01
Ban,68.0,230000.0,BL IRC MB86 100/90-12,2021-10-01
Oli,58.0,23000.0,Evalube 2T 0.7,2021-10-01
Sakelar,50.0,10000.0,Sakelar Lampu,2021-10-01
Kampas Rem,43.0,65000.0,DPAD YGP 2BM,2021-10-01
Kampas Rem,47.0,40000.0,Kampas Belakang Supra,2021-10-01
Sakelar,42.0,12000.0,Sakelar Indling stop,2021-10-01
Kampas Rem,31.0,51000.0,DPAD AHM KVBT01 VARIO,2021-10-01
Ban,49.0,290000.0,FDR TR TL 100/80-14,2021-10-01
Aki,60.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-10-01
Ban,62.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-10-01
Velg,71.0,1600000.0,Velg VND,2021-10-01
Seal,50.0,8000.0,Seal oring,2021-10-01
Filter Udara,43.0,70000.0,Filter Udara YGP,2021-10-01
Bearing,56.0,52000.0,BRG AHM SET 6302 RS,2021-10-01
Hendel Rem,86.0,200000.0,Hendel Rem No Name,2021-10-01
Seal,39.0,7000.0,Seal Pulau,2021-10-01
Oli,53.0,23000.0,Evalube 2T 0.7,2021-10-01
Gear Rantai,74.0,185000.0,Gear Seat AHM KWB revo,2021-10-01
Bearing,64.0,44500.0,BRG AHM SET 6201 RS,2021-10-01
Roller,37.0,70000.0,BRT Mio,2021-10-01
Hendel Rem,67.0,150000.0,Hendel Rem Ori AHM,2021-10-01
Piringan Cakram,86.0,55500.0,Piringan DPN AHM Vario,2021-10-01
Ban,59.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-10-01
Dinamo,82.0,200000.0,Dinamo YGP Nmx old,2021-10-01
Rumah Roller,40.0,85000.0,AHM KVB Vario,2021-10-01
Ban,84.0,470000.0,FDR TR TL 140/70-13 Blaze Mp,2021-10-01
Ban,40.0,400000.0,BL Maxxis 120/70-12 VICTRA,2021-10-01
Oli,78.0,64000.0,Motul GP MTC 4T,2021-10-01
Hendel Rem,86.0,200000.0,Hendel Rem No Name,2021-10-01
Ban,31.0,230000.0,FDR TR TL Flemino 90/90-14,2021-10-01
V-Belt,45.0,170000.0,V Belt set AHM K35,2021-10-01
Velg,34.0,1300000.0,Velg Rossi,2021-10-01
Kampas Kopling,78.0,172000.0,KPL Ganda ONLY YGP Nmx,2021-10-01
Ban,50.0,350000.0,BL Maxxis 100/80-14 VICTRA,2021-10-01
Bearing,68.0,50500.0,BRG AHM SET 6204 RS,2021-10-01
Kampas Rem,52.0,47000.0,DPAD BLK SUPRA,2021-10-01
Bearing,33.0,50500.0,BRG AHM SET 6204 RS,2021-10-01
